Task Name,Parent Task,Total Duration (hours)
"Singin ⭕️","Meditation  🙏🏾👁🌀🕯💎","2.45583"
"👁📖🌬🃏🌀💡","","2.42083"
"Groceries 🥬🍆🍌🍒🍞","Shopping 💸🛍🛒","2.19389"
"Online shopping 🖥💳🛍 ","Shopping 💸🛍🛒","2.1275"
"Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","","2.08333"
"Health research 🔍🌱🥑","Health🌱🥑🔥","1.43444"
"Job🛠🎼🏋🏾💸","","1.1075"
"Bed of nails","Health🌱🥑🔥","0.98833"
"🥁👋🏾pitch","Percussion gig 💸🖐🏾🤚🏾🎼","0.96667"
"🏊‍♂️🏊🏾‍♂️🌊","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","0.94639"
"Meeting","","0.88333"
"Art 🎨","","0.86167"
"Eating","Food 🍱🍲🍜🌯","0.69694"
"House clean art❤️🕌🏡🌈","","0.455"
"Optimize ","Study🖥📚🖊💡","0.43944"
"FreeStyLE","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","0.35333"
"Food","Break 🏝🔋⏳","0.34833"
"🦋⚡️🔥SpiRituaL wOrK❤️👁🌈","","0.29778"
"EnJoyiNG ch😍😋nz","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","0.24611"
"Elbow health","Training/exercise  🏋🏽🤸🏾‍♂️🏊🏽","0.21694"
"🐝ing SiLLy 😜🃏","Fun  🤣😂🌈😜🤡👻😹💩🎅🏿","0.20139"
"Massage 💆🏽‍♂️🌀💆🏾‍♂️","Health🌱🥑🔥","0.19444"
"Book / writing 📖🖊🔥🌈","","0.17944"
"🎵🎶MuSic LAb","Music 🎼🎤🥁🎸⚡️✨💃🏻🕺🏽","0.15833"
"Walking 👁🕯🚶🏿‍♂️🚶🏿‍♂️✨med","Meditation  🙏🏾👁🌀🕯💎","0.09111"
"Work socia 🤚🏾↔️✋🏾 l  ","Percussion gig 💸🖐🏾🤚🏾🎼","0.07694"
"Proposal👁💡💸🔥🌈⚡️⛈🌬☔️🌅🌠🏦","","0.00306"
"OTBT 🌍🛫⛵️🏝🎼🥁💃🏻🌈","","0.00222"
